sa3name,ave_growth,median_growth
Penrith,0.013063254497583943,0.009102088249809182
Perth City,0.03327482512238755,0.022758793439932257
Pilbara,0.03682281963329004,0.04024698461677079
Pittwater,0.014748585596465968,0.0027476207922665363
Playford,0.013634676430800186,0.011695812669822558
Port Adelaide - East,0.012768223874574103,0.007055749186414495
Port Adelaide - West,0.017327814990912183,0.011398501005181583
Port Douglas - Daintree,0.017298313260907472,0.0034633035965181413
Port Macquarie,0.01853883992814609,0.018245437354058147
Port Phillip,0.017232938703665157,0.00990269049768222
Port Stephens,0.015185785265440677,0.01166867450368514
Prospect - Walkerville,0.018653051781521768,0.007164449715824306
Queanbeyan,0.0178383382243692,0.017828446571768186
Redcliffe,0.020662991619346815,0.018087050278887906
Richmond - Windsor,0.012113777848508755,0.005737793748836539
Richmond Valley - Coastal,0.02114884276876583,0.015621525692858906
Richmond Valley - Hinterland,0.04397286207382223,0.012334436084199929
Robina,0.009239348979599438,0.0021941494048838273
Rockhampton,0.02748255634269059,0.024059627773278303
Rockingham,0.03485369438125874,0.02714707558981666
Rocklea - Acacia Ridge,0.012121591133952503,0.0073465934308616365
Rouse Hill - McGraths Hill,0.013696620864741771,0.008907469991064954
Ryde - Hunters Hill,0.015596531881367337,0.006647989147370081
Salisbury,0.012489136004732115,0.007946065447756112
Sandgate,0.02075440411505025,0.01525075763797279
Serpentine - Jarrahdale,0.0343607362529732,0.025101155643239448
Shepparton,0.01537657425771255,0.012429430369171657
Sherwood - Indooroopilly,0.027526444959421914,0.016113311865496804
Shoalhaven,0.013357489065286776,0.011839739091551671
Snowy Mountains,0.014941127782131414,0.0106270779168538
Sorell - Dodges Ferry,0.015986714725958917,0.012897334531702942
South Canberra,0.02524552013443615,0.017800010442369896
South Coast,0.013498465515799474,0.012260678079994314
South East Coast,0.011943791537020632,0.008825291466160401
South Perth,0.03525152855683422,0.022263894463385725
Southern Highlands,0.010372124997113152,0.004774603375097941
Southport,0.01405991793304362,0.009770639584500307
Springfield - Redbank,0.019211645367522845,0.013804736005718521
Springwood - Kingston,0.016783160675591713,0.01125821893698431
St Marys,0.011306855968552076,0.008742493410311969
Stirling,0.035089457448419514,0.024697783747436253
Stonnington - East,0.0183451231352183,0.008349797919962487
Stonnington - West,0.0233875853525638,0.008721581665222189
Strathfield - Burwood - Ashfield,0.016302721421638022,0.00929541722518934
Strathpine,0.017633222777442503,0.012406514500646448
Sunbury,0.011214448940305655,0.0073166733792224825
Sunnybank,0.009754890758653767,0.0014352633998138131
Sunshine Coast Hinterland,0.028648394461918247,0.020895135614569682
Surf Coast - Bellarine Peninsula,0.018081566158620666,0.008579538014727106
Surfers Paradise,0.0068676812567030066,0.0035062568975048336
Sutherland - Menai - Heathcote,0.013821144633674232,0.007851554468131239
Swan,0.03153725946882724,0.02272197328780079
Sydney Inner City,0.02121250003202091,0.009922686929086488
Tablelands (East) - Kuranda,0.02229441299415047,0.016287912655533976
Tamworth - Gunnedah,0.026332624355666967,0.018593676489682576
Taree - Gloucester,0.015830041970676056,0.013855202435481662
Tea Tree Gully,0.01294172213773015,0.008306204057150657
The Gap - Enoggera,0.02237113641600974,0.014459415388824226
Toowoomba,0.023971881520799876,0.016999895516230268
Townsville,0.019562922334833255,0.015562823070340182
Tuggeranong,0.01504939830797225,0.011765265517901469
Tullamarine - Broadmeadows,0.010129575510498645,0.005428620296952458
Tumut - Tumbarumba,0.015576398820921433,0.01367597233559592
Tweed Valley,0.0216865089490359,0.01972624778355425
Unley,0.01665651657430578,0.007037089013448794
Upper Goulburn Valley,0.013871362737197135,0.010372192013811343
Upper Hunter,0.024624869291334006,0.01189060567249589
Upper Murray exc. Albury,0.0175553910106101,0.007730834058964575
Wagga Wagga,0.02674652749477513,0.01925104735206018
Wangaratta - Benalla,0.013548610104676007,0.007781169414344591
Wanneroo,0.03622266864803181,0.027754117937293765
Warringah,0.019872399552902653,0.008626700509542617
Warrnambool - Otway Ranges,0.014709148706732567,0.010244685200201387
Wellington,0.030390576557084215,0.017390320413818383
West Coast,0.023166167417052907,0.02069309450731316
West Torrens,0.01560126100605852,0.008506915168751128
Weston Creek,0.017627015503915766,0.015182377824828786
Wheat Belt - North,0.03930733757836369,0.02751596426608338
Wheat Belt - South,0.041185765379476935,0.03295378433977536
Whitehorse - East,0.01170671069628093,0.004684714906140419
Whitehorse - West,0.011844910723608049,0.0016927141091374054
Whitsunday,0.016952777404850572,0.012339584125511838
Whittlesea - Wallan,0.006480829770041607,0.008730617940436725
Woden,0.015546988304198761,0.009981963362496238
Wodonga - Alpine,0.01559643078972095,0.013033400328758438
Wollondilly,0.012320308735893626,0.00783038778243128
Wollongong,0.015426629683697346,0.009530532201295072
Wyndham,0.00818589705962891,0.0037094357682798673
Wynnum - Manly,0.024565729254270474,0.016195114122353305
Wyong,0.014168534279006773,0.01062079251770398
Yarra,0.019495790817066094,0.01219436297618448
Yarra Ranges,0.015482026263113013,0.01033202357350782
Yorke Peninsula,0.02255701094134599,0.017098583507126897
